document,topic,gamma
"Alexandra Killewald, Ian Lundberg; New Evidence Against a Causal Marriage Wage Premium. Demography 1 June 2017; 54 (3): 1007–1028. doi: https://doi.org/10.1007/s13524-017-0566-2",1,1.2658710020744466e-5
"Alexandra Killewald, Xiaolin Zhuo; U.S. Mothers’ Long-Term Employment Patterns. Demography 1 February 2019; 56 (1): 285–320. doi: https://doi.org/10.1007/s13524-018-0745-9",1,1.2336280493370699e-5
"Alexandra Killewald; Return to Being Black, Living in the Red: A Race Gap in Wealth That Goes Beyond Social Origins. Demography 1 August 2013; 50 (4): 1177–1195. doi: https://doi.org/10.1007/s13524-012-0190-0",1,0.23432290696208374
"Alexandre Gori Maia, Yao Lu; Migration and Democratization in Brazil: The Case of Electoral Participation and Competition. Demography 1 February 2021; 58 (1): 191–217. doi: https://doi.org/10.1215/00703370-8937033",1,0.007863044992159274
"Alexis Grigorieff, Christopher Roth, Diego Ubfal; Does Information Change Attitudes Toward Immigrants?. Demography 1 June 2020; 57 (3): 1117–1143. doi: https://doi.org/10.1007/s13524-020-00882-8",1,0.022067360876373912
"Alfredo Burlando; Power Outages, Power Externalities, and Baby Booms. Demography 1 August 2014; 51 (4): 1477–1500. doi: https://doi.org/10.1007/s13524-014-0316-7",1,1.4185586010919835e-5
"Alice Goisis, Berkay Özcan, Philippe Van Kerm; Do Children Carry the Weight of Divorce?. Demography 1 June 2019; 56 (3): 785–811. doi: https://doi.org/10.1007/s13524-019-00784-4",1,1.2068017437315137e-5
Alison Gemmill; From Some to None? Fertility Expectation Dynamics of Permanently Childless Women. Demography 1 February 2019; 56 (1): 129–149. doi: https://doi.org/10.1007/s13524-018-0739-7,1,0.009578092308149698
"Almudena Sevilla, Jose I. Gimenez-Nadal, Jonathan Gershuny; Leisure Inequality in the United States: 1965–2003. Demography 1 August 2012; 49 (3): 939–964. doi: https://doi.org/10.1007/s13524-012-0100-5",1,1.261076766427012e-5
"Alyson A. van Raalte, Pekka Martikainen, Mikko Myrskylä; Lifespan Variation by Occupational Class: Compression or Stagnation Over Time?. Demography 1 February 2014; 51 (1): 73–95. doi: https://doi.org/10.1007/s13524-013-0253-x",1,1.3746363209482883e-5
"Amanda Geller, Carey E. Cooper, Irwin Garfinkel, Ofira Schwartz-Soicher, Ronald B. Mincy; Beyond Absenteeism: Father Incarceration and Child Development. Demography 1 February 2012; 49 (1): 49–76. doi: https://doi.org/10.1007/s13524-011-0081-9",1,1.3393860694502217e-5
"Amanda Geller, Irwin Garfinkel, Bruce Western; Paternal Incarceration and Support for Children in Fragile Families. Demography 1 February 2011; 48 (1): 25–47. doi: https://doi.org/10.1007/s13524-010-0009-9",1,0.001505673248226771
"Amar Hamoudi, Jenna Nobles; Do Daughters Really Cause Divorce? Stress, Pregnancy, and Family Composition. Demography 1 August 2014; 51 (4): 1423–1449. doi: https://doi.org/10.1007/s13524-014-0305-x",1,1.1811173908829456e-5
"Amelia R. Branigan, Jonas Helgertz; Resolved Parental Infertility and Children’s Educational Achievement. Demography 1 June 2017; 54 (3): 911–931. doi: https://doi.org/10.1007/s13524-017-0573-3",1,1.4498279037878743e-5
"Amy Hsin, Francesc Ortega; The Effects of Deferred Action for Childhood Arrivals on the Educational Outcomes of Undocumented Students. Demography 1 August 2018; 55 (4): 1487–1506. doi: https://doi.org/10.1007/s13524-018-0691-6",1,1.5981316703781776e-5
Amy Hsin; Is Biology Destiny? Birth Weight and Differential Parental Treatment. Demography 1 November 2012; 49 (4): 1385–1405. doi: https://doi.org/10.1007/s13524-012-0123-y,1,1.325721035239149e-5
"Amy Spring, Elizabeth Ackert, Kyle Crowder, Scott J. South; Influence of Proximity to Kin on Residential Mobility and Destination Choice: Examining Local Movers in Metropolitan Areas. Demography 1 August 2017; 54 (4): 1277–1304. doi: https://doi.org/10.1007/s13524-017-0587-x",1,0.3019509737521917
"Ana Lucia Abeliansky, Holger Strulik; How We Fall Apart: Similarities of Human Aging in 10 European Countries. Demography 1 February 2018; 55 (1): 341–359. doi: https://doi.org/10.1007/s13524-017-0641-8",1,2.199086940345891e-5
"Andrea M. Tilstra, Ryan K. Masters; Worth the Weight? Recent Trends in Obstetric Practices, Gestational Age, and Birth Weight in the United States. Demography 1 February 2020; 57 (1): 99–121. doi: https://doi.org/10.1007/s13524-019-00843-w",1,0.007699340645861827
"Andrés Villarreal, Sarah Blanchard; How Job Characteristics Affect International Migration: The Role of Informality in Mexico. Demography 1 April 2013; 50 (2): 751–775. doi: https://doi.org/10.1007/s13524-012-0153-5",1,1.4219662120172555e-5
"Andrés Villarreal, Wei-hsin Yu; Research Note: Gender Differences in Employment During the COVID-19 Epidemic. Demography 1 February 2022; 59 (1): 13–26. doi: https://doi.org/10.1215/00703370-9710353",1,3.437957723933806e-5
"Andrés Villarreal; The Education-Occupation Mismatch of International and Internal Migrants in Mexico, 2005–2012. Demography 1 June 2016; 53 (3): 865–883. doi: https://doi.org/10.1007/s13524-016-0470-1",1,1.619015022587691e-5
"Andrew Fenelon, Michel Boudreaux, Natalie Slopen, Sandra J. Newman; The Benefits of Rental Assistance for Children's Health and School Attendance in the United States. Demography 1 August 2021; 58 (4): 1171–1195. doi: https://doi.org/10.1215/00703370-9305166",1,0.08828816207808271
"Andrew Fenelon, Samuel H. Preston; Estimating Smoking-Attributable Mortality in the United States. Demography 1 August 2012; 49 (3): 797–818. doi: https://doi.org/10.1007/s13524-012-0108-x",1,0.006014019474890535
Andrew Foote; Decomposing the Effect of Crime on Population Changes. Demography 1 April 2015; 52 (2): 705–728. doi: https://doi.org/10.1007/s13524-015-0375-4,1,0.4097294806894731
"Andrew Halpern-Manners, John Robert Warren; Panel Conditioning in Longitudinal Studies: Evidence From Labor Force Items in the Current Population Survey. Demography 1 November 2012; 49 (4): 1499–1519. doi: https://doi.org/10.1007/s13524-012-0124-x",1,1.2697932657730345e-5
"Andrew Halpern-Manners, Jonas Helgertz, John Robert Warren, Evan Roberts; The Effects of Education on Mortality: Evidence From Linked U.S. Census and Administrative Mortality Data. Demography 1 August 2020; 57 (4): 1513–1541. doi: https://doi.org/10.1007/s13524-020-00892-6",1,0.06307707532367134
Andrew Halpern-Manners; The Effect of Family Member Migration on Education and Work Among Nonmigrant Youth in Mexico. Demography 1 February 2011; 48 (1): 73–99. doi: https://doi.org/10.1007/s13524-010-0010-3,1,0.014227648964581159
Andrew J. Bibler; Household Composition and Gender Differences in Parental Time Investments. Demography 1 August 2020; 57 (4): 1415–1435. doi: https://doi.org/10.1007/s13524-020-00901-8,1,1.1377332487097915e-5
"Andrew L. Hicks, Mark S. Handcock, Narayan Sastry, Anne R. Pebley; Sequential Neighborhood Effects: The Effect of Long-Term Exposure to Concentrated Disadvantage on Children’s Reading and Math Test Scores. Demography 1 February 2018; 55 (1): 1–31. doi: https://doi.org/10.1007/s13524-017-0636-5",1,0.23973592037455513
"Andrew M. Penner, Aliya Saperstein; Disentangling the Effects of Racial Self-identification and Classification by Others: The Case of Arrest. Demography 1 June 2015; 52 (3): 1017–1024. doi: https://doi.org/10.1007/s13524-015-0394-1",1,0.6530900523597607
"Ang Sun, Chuanchuan Zhang, Xiangting Hu; Boys, Girls, and Grandparents: The Impact of the Sex of Preschool-Aged Children on Family Living Arrangements and Maternal Labor Supply. Demography 1 June 2019; 56 (3): 813–833. doi: https://doi.org/10.1007/s13524-019-00783-5",1,1.4933108294002174e-5
"Ann Meier, Kelly Musick, Sarah Flood, Rachel Dunifon; Mothering Experiences: How Single Parenthood and Employment Structure the Emotional Valence of Parenting. Demography 1 June 2016; 53 (3): 649–674. doi: https://doi.org/10.1007/s13524-016-0474-x",1,1.4435424426702147e-5
"Anna Folke Larsen, Derek Headey, William A. Masters; Misreporting Month of Birth: Diagnosis and Implications for Research on Nutrition and Early Childhood in Developing Countries. Demography 1 April 2019; 56 (2): 707–728. doi: https://doi.org/10.1007/s13524-018-0753-9",1,1.2253993600367694e-5
"Anna Zajacova, Hanna Grol-Prokopczyk, Zachary Zimmer; Pain Trends Among American Adults, 2002–2018: Patterns, Disparities, and Correlates. Demography 1 April 2021; 58 (2): 711–738. doi: https://doi.org/10.1215/00703370-8977691",1,0.029991228948789896
"Annamaria Milazzo, Dominique van de Walle; Women Left Behind? Poverty and Headship in Africa. Demography 1 June 2017; 54 (3): 1119–1145. doi: https://doi.org/10.1007/s13524-017-0561-7",1,1.3499066160198858e-5
"Anne Case, Christina Paxson; The Impact of the AIDS Pandemic on Health Services in Africa: Evidence from Demographic and Health Surveys. Demography 1 May 2011; 48 (2): 675–697. doi: https://doi.org/10.1007/s13524-011-0026-3",1,1.3658259527018644e-5
"Anne McDaniel, Thomas A. DiPrete, Claudia Buchmann, Uri Shwed; The Black Gender Gap in Educational Attainment: Historical Trends and Racial Comparisons. Demography 1 August 2011; 48 (3): 889–914. doi: https://doi.org/10.1007/s13524-011-0037-0",1,0.2949462702745912
"Anthony Medford, Kaare Christensen, Axel Skytthe, James W. Vaupel; A Cohort Comparison of Lifespan After Age 100 in Denmark and Sweden: Are Only the Oldest Getting Older?. Demography 1 April 2019; 56 (2): 665–677. doi: https://doi.org/10.1007/s13524-018-0755-7",1,2.858704749626428e-5
Antonie Knigge; Beyond the Parental Generation: The Influence of Grandfathers and Great-grandfathers on Status Attainment. Demography 1 August 2016; 53 (4): 1219–1244. doi: https://doi.org/10.1007/s13524-016-0486-6,1,1.486643600567875e-5
"Archana B. Patel, Neetu Badhoniya, Manju Mamtani, Hemant Kulkarni; Skewed Sex Ratios in India: “Physician, Heal Thyself”. Demography 1 June 2013; 50 (3): 1129–1134. doi: https://doi.org/10.1007/s13524-012-0194-9",1,5.96168326403401e-5
Are Skeie Hermansen; Age at Arrival and Life Chances Among Childhood Immigrants. Demography 1 February 2017; 54 (1): 201–229. doi: https://doi.org/10.1007/s13524-016-0535-1,1,1.1148768986807525e-5
"Aree Jampaklay, Kathleen Ford, Aphichat Chamratrithirong; Migration and Unrest in the Deep South Thailand: A Multilevel Analysis of a Longitudinal Study. Demography 1 April 2020; 57 (2): 727–745. doi: https://doi.org/10.1007/s13524-020-00856-w",1,2.1169479714916042e-5
Ariel J. Binder; Rising Inequality in Mothers' Employment Statuses: The Role of Intergenerational Transmission. Demography 1 August 2021; 58 (4): 1223–1248. doi: https://doi.org/10.1215/00703370-9398597,1,0.006216704072194868
"Ariel Kalil, Magne Mogstad, Mari Rege, Mark Votruba; Divorced Fathers’ Proximity and Children’s Long-Run Outcomes: Evidence From Norwegian Registry Data. Demography 1 August 2011; 48 (3): 1005–1027. doi: https://doi.org/10.1007/s13524-011-0046-z",1,1.1861135883526653e-5
"Ariel Kalil, Rebecca Ryan, Michael Corey; Diverging Destinies: Maternal Education and the Developmental Gradient in Time With Children. Demography 1 November 2012; 49 (4): 1361–1383. doi: https://doi.org/10.1007/s13524-012-0129-5",1,1.2786310590134921e-5
"Arkadiusz Wiśniowski, Peter W. F. Smith, Jakub Bijak, James Raymer, Jonathan J. Forster; Bayesian Population Forecasting: Extending the Lee-Carter Method. Demography 1 June 2015; 52 (3): 1035–1059. doi: https://doi.org/10.1007/s13524-015-0389-y",1,1.9793121790231856e-5
"Arland Thornton, Georgina Binstock, Kathryn M. Yount, Mohammad Jalal Abbasi-Shavazi, Dirgha Ghimire, Yu Xie; International Fertility Change: New Data and Insights From the Developmental Idealism Framework. Demography 1 May 2012; 49 (2): 677–698. doi: https://doi.org/10.1007/s13524-012-0097-9",1,1.4629660344337442e-5
"Arland Thornton, Nathalie E. Williams, Prem Bhandari, Linda Young-DeMarco, Cathy Sun, Jeffrey Swindle, Christina Hughes, Yu Xie; Influences of Material Aspirations on Migration. Demography 1 February 2019; 56 (1): 75–102. doi: https://doi.org/10.1007/s13524-018-0751-y",1,0.01043200046509716
"Arline T. Geronimus, John Bound, Annie Ro; Residential Mobility Across Local Areas in the United States and the Geographic Distribution of the Healthy Population. Demography 1 June 2014; 51 (3): 777–809. doi: https://doi.org/10.1007/s13524-014-0299-4",1,0.5292711458317899
"Arun S. Hendi; Proximate Sources of Change in Trajectories of First Marriage in the United States, 1960–2010. Demography 1 June 2019; 56 (3): 835–862. doi: https://doi.org/10.1007/s13524-019-00769-3",1,1.2628703662590693e-5
"Arun S. Hendi; Trends in Education-Specific Life Expectancy, Data Quality, and Shifting Education Distributions: A Note on Recent Research. Demography 1 June 2017; 54 (3): 1203–1213. doi: https://doi.org/10.1007/s13524-017-0574-2",1,0.15945662386163886
"Aruna Chandran, Geoffrey Kahn, Tanara Sousa, Flavio Pechansky, David M. Bishai, Adnan A. Hyder; Impact of Road Traffic Deaths on Expected Years of Life Lost and Reduction in Life Expectancy in Brazil. Demography 1 February 2013; 50 (1): 229–236. doi: https://doi.org/10.1007/s13524-012-0135-7",1,4.805525511111252e-5
"Arunachalam Dharmalingam, Sowmya Rajan, S. Philip Morgan; The Determinants of Low Fertility in India. Demography 1 August 2014; 51 (4): 1451–1475. doi: https://doi.org/10.1007/s13524-014-0314-9",1,1.625436476968687e-5
"Aslan Zorlu, Clara H. Mulder; Ethnic Differences in Leaving Home: Timing and Pathways. Demography 1 February 2011; 48 (1): 49–72. doi: https://doi.org/10.1007/s13524-010-0012-1",1,0.005483723986198787
"Ava Gail Cas, Elizabeth Frankenberg, Wayan Suriastini, Duncan Thomas; The Impact of Parental Death on Child Well-being: Evidence From the Indian Ocean Tsunami. Demography 1 April 2014; 51 (2): 437–457. doi: https://doi.org/10.1007/s13524-014-0279-8",1,1.4949869844188628e-5
Avraham Ebenstein; Estimating a Dynamic Model of Sex Selection in China. Demography 1 May 2011; 48 (2): 783–811. doi: https://doi.org/10.1007/s13524-011-0030-7,1,1.0502608468360461e-5
"Barbara Hofmann, Michaela Kreyenfeld, Arne Uhlendorff; Job Displacement and First Birth Over the Business Cycle. Demography 1 June 2017; 54 (3): 933–959. doi: https://doi.org/10.1007/s13524-017-0580-4",1,1.0844668372590656e-5
"Barbara S. Mensch, Erica Soler-Hampejsek, Christine A. Kelly, Paul C. Hewett, Monica J. Grant; Challenges in Measuring the Sequencing of Life Events Among Adolescents in Malawi: A Cautionary Note. Demography 1 February 2014; 51 (1): 277–285. doi: https://doi.org/10.1007/s13524-013-0269-2",1,4.40792743785503e-5
"Barbara S. Okun, Guy Stecklov; The Impact of Grandparental Death on the Fertility of Adult Children. Demography 1 June 2021; 58 (3): 847–870. doi: https://doi.org/10.1215/00703370-9015536",1,1.1552496082257044e-5
"Barbara Wolfe, Jessica Jakubowski, Robert Haveman, Marissa Courey; The Income and Health Effects of Tribal Casino Gaming on American Indians. Demography 1 May 2012; 49 (2): 499–524. doi: https://doi.org/10.1007/s13524-012-0098-8",1,0.18263064596867642
"Belinda Aparicio Diaz, Thomas Fent, Alexia Prskawetz, Laura Bernardi; Transition to Parenthood: The Role of Social Interaction and Endogenous Networks. Demography 1 May 2011; 48 (2): 559–579. doi: https://doi.org/10.1007/s13524-011-0023-6",1,1.581057825304589e-5
"Ben Pelzer, Manfred te Grotenhuis, Rob Eisinga, Alexander W. Schmidt-Catran; The Non-uniqueness Property of the Intrinsic Estimator in APC Models. Demography 1 February 2015; 52 (1): 315–327. doi: https://doi.org/10.1007/s13524-014-0360-3",1,4.028002531837343e-5
"Benjamin G. Gibbs, Joseph Workman, Douglas B. Downey; The (Conditional) Resource Dilution Model: State- and Community-Level Modifications. Demography 1 June 2016; 53 (3): 723–748. doi: https://doi.org/10.1007/s13524-016-0471-0",1,0.03536116950413652
"Bethany G. Everett, Aubrey Limburg, Patricia Homan, Morgan M. Philbin; Structural Heteropatriarchy and Birth Outcomes in the United States. Demography 1 February 2022; 59 (1): 89–110. doi: https://doi.org/10.1215/00703370-9606030",1,0.06973750451737444
"Bilal Barakat, Robin Shields; Just Another Level? Comparing Quantitative Patterns of Global Expansion of School and Higher Education Attainment. Demography 1 June 2019; 56 (3): 917–934. doi: https://doi.org/10.1007/s13524-019-00775-5",1,1.831015442048404e-5
"Bradley Hardy, Timothy Smeeding, James P. Ziliak; The Changing Safety Net for Low-Income Parents and Their Children: Structural or Cyclical Changes in Income Support Policy?. Demography 1 February 2018; 55 (1): 189–221. doi: https://doi.org/10.1007/s13524-017-0642-7",1,1.0490200659874384e-5
"Bradley Heim, Ithai Lurie, Kosali Simon; The Impact of the Affordable Care Act Young Adult Provision on Childbearing: Evidence From Tax Data. Demography 1 August 2018; 55 (4): 1233–1243. doi: https://doi.org/10.1007/s13524-018-0692-5",1,3.000380964811563e-5
"Brian L. Levy; Wealth, Race, and Place: How Neighborhood (Dis)advantage From Emerging to Middle Adulthood Affects Wealth Inequality and the Racial Wealth Gap. Demography 1 February 2022; 59 (1): 293–320. doi: https://doi.org/10.1215/00703370-9710284",1,0.6608038889492858
"Brian L. Rostron, John R. Wilmoth; Estimating the Effect of Smoking on Slowdowns in Mortality Declines in Developed Countries. Demography 1 May 2011; 48 (2): 461–479. doi: https://doi.org/10.1007/s13524-011-0020-9",1,1.6813508375887895e-5
"Bridget K. Gorman, Justin T. Denney, Hilary Dowdy, Rose Anne Medeiros; A New Piece of the Puzzle: Sexual Orientation, Gender, and Physical Health Status. Demography 1 August 2015; 52 (4): 1357–1382. doi: https://doi.org/10.1007/s13524-015-0406-1",1,0.02919770443176964
Brielle Bryan; Paternal Incarceration and Adolescent Social Network Disadvantage. Demography 1 August 2017; 54 (4): 1477–1501. doi: https://doi.org/10.1007/s13524-017-0589-8,1,0.030380917129400282
"Brienna Perelli-Harris, Stefanie Hoherz, Trude Lappegård, Ann Evans; Mind the “Happiness” Gap: The Relationship Between Cohabitation, Marriage, and Subjective Well-being in the United Kingdom, Australia, Germany, and Norway. Demography 1 August 2019; 56 (4): 1219–1246. doi: https://doi.org/10.1007/s13524-019-00792-4",1,1.3658259706052964e-5
"Brienna Perelli-Harris, Theodore P. Gerber; Nonmarital Childbearing in Russia: Second Demographic Transition or Pattern of Disadvantage?. Demography 1 February 2011; 48 (1): 317–342. doi: https://doi.org/10.1007/s13524-010-0001-4",1,1.339386006685143e-5
"Brighita Negrusa, Sebastian Negrusa; Home Front: Post-Deployment Mental Health and Divorces. Demography 1 June 2014; 51 (3): 895–916. doi: https://doi.org/10.1007/s13524-014-0294-9",1,1.3984511480483124e-5
"Bruce Bradbury, Jane Waldfogel, Elizabeth Washbrook; Income-Related Gaps in Early Child Cognitive Development: Why Are They Larger in the United States Than in the United Kingdom, Australia, and Canada?. Demography 1 February 2019; 56 (1): 367–390. doi: https://doi.org/10.1007/s13524-018-0738-8",1,0.00914371310069133
"Bruce Western, Deirdre Bloome, Benjamin Sosnaud, Laura M. Tach; Trends in Income Insecurity Among U.S. Children, 1984–2010. Demography 1 April 2016; 53 (2): 419–447. doi: https://doi.org/10.1007/s13524-016-0463-0",1,1.075056954927185e-5
"Bruce Western, Natalie Smith; Formerly Incarcerated Parents and Their Children. Demography 1 June 2018; 55 (3): 823–847. doi: https://doi.org/10.1007/s13524-018-0677-4",1,1.2181147561105454e-5
"Bruno Arpino, Marco Le Moglie, Letizia Mencarini; What Tears Couples Apart: A Machine Learning Analysis of Union Dissolution in Germany. Demography 1 February 2022; 59 (1): 161–186. doi: https://doi.org/10.1215/00703370-9648346",1,1.3360271711603391e-5
Bruno Masquelier; Adult Mortality From Sibling Survival Data: A Reappraisal of Selection Biases. Demography 1 February 2013; 50 (1): 207–228. doi: https://doi.org/10.1007/s13524-012-0149-1,1,1.553397872019961e-5
"C. Y. Cyrus Chu, Seik Kim, Wen-Jen Tsay; Coresidence With Husband’s Parents, Labor Supply, and Duration to First Birth. Demography 1 February 2014; 51 (1): 185–204. doi: https://doi.org/10.1007/s13524-013-0244-y",1,1.851376740035236e-5
"Cahit Guven, Asadul Islam; Age at Migration, Language Proficiency, and Socioeconomic Outcomes: Evidence From Australia. Demography 1 April 2015; 52 (2): 513–542. doi: https://doi.org/10.1007/s13524-015-0373-6",1,0.006757547785565638
Caleb S. Watkins; School Progress Among Children of Same-Sex Couples. Demography 1 June 2018; 55 (3): 799–821. doi: https://doi.org/10.1007/s13524-018-0678-3,1,1.2251175950553322e-5
"Carl P. Schmertmann, Marcos R. Gonzaga; Bayesian Estimation of Age-Specific Mortality and Life Expectancy for Small Areas With Defective Vital Records. Demography 1 August 2018; 55 (4): 1363–1388. doi: https://doi.org/10.1007/s13524-018-0695-2",1,1.5698765232825346e-5
"Carolyn A. Liebler, Renuka Bhaskar, Sonya R. Porter (née Rastogi); Joining, Leaving, and Staying in the American Indian/Alaska Native Race Category Between 2000 and 2010. Demography 1 April 2016; 53 (2): 507–540. doi: https://doi.org/10.1007/s13524-016-0461-2",1,0.9755878385127201
"Carolyn A. Liebler, Sonya R. Porter, Leticia E. Fernandez, James M. Noon, Sharon R. Ennis; America’s Churning Races: Race and Ethnicity Response Changes Between Census 2000 and the 2010 Census. Demography 1 February 2017; 54 (1): 259–284. doi: https://doi.org/10.1007/s13524-016-0544-0",1,0.9748606477157115
"Carolyn A. Liebler, Timothy Ortyl; More Than One Million New American Indians in 2000: Who Are They?. Demography 1 June 2014; 51 (3): 1101–1130. doi: https://doi.org/10.1007/s13524-014-0288-7",1,0.8991499115618197
"Carolyn M. Moehling, Melissa A. Thomasson; Saving Babies: The Impact of Public Education Programs on Infant Mortality. Demography 1 April 2014; 51 (2): 367–386. doi: https://doi.org/10.1007/s13524-013-0274-5",1,0.06551444151246397
"Cassandra Robertson, Rourke O’Brien; Health Endowment at Birth and Variation in Intergenerational Economic Mobility: Evidence From U.S. County Birth Cohorts. Demography 1 February 2018; 55 (1): 249–269. doi: https://doi.org/10.1007/s13524-017-0646-3",1,0.22326596270110466
"Cassie McMillan; Tied Together: Adolescent Friendship Networks, Immigrant Status, and Health Outcomes. Demography 1 June 2019; 56 (3): 1075–1103. doi: https://doi.org/10.1007/s13524-019-00770-w",1,0.21983623403015673
"Catalina Amuedo-Dorantes, Thitima Puttitanun, Ana P. Martinez-Donate; How Do Tougher Immigration Measures Affect Unauthorized Immigrants?. Demography 1 June 2013; 50 (3): 1067–1091. doi: https://doi.org/10.1007/s13524-013-0200-x",1,1.4353750475598903e-5
"Catalina Herrera Almanza, David E. Sahn; Early Childbearing, School Attainment, and Cognitive Skills: Evidence From Madagascar. Demography 1 April 2018; 55 (2): 643–668. doi: https://doi.org/10.1007/s13524-018-0664-9",1,1.1811173702037154e-5
